	subject	seqmethod	assembler	pipeline_x	group_x	Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage	quality	binmethod	sample	binname	pipeline_y	bin	group_y	16S_RNA	23S_RNA	5S_RNA	16S_RNA_avglen	23S_RNA_avglen	5S_RNA_avglen	suffix
10	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.23	1373	124	48	3	0	0	0	0	0	0	1392336	969160	167287	0	0	0	0	0	0	124	62033	1392336	16496	8307	26	57	0.0	o__Campylobacterales (UID3068)	106	475	283	122	349	4	0	0	0	72.25	0.94	0.0	16.0	0	0	0	Helicobacter_cinaedi	100.0	1.39	Helicobacter_cinaedi	14.2720420932878	medium-quality	Metabat2	S1_mNGS_metaSPAdes	bin.23	mNGS_metaSPAdes	bin.23.fa	mNGS	0	0	0				
11	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.26	655	53	26	0	0	0	0	0	0	0	672946	528529	0	0	0	0	0	0	0	53	42779	672946	19160	10304	11	24	0.0	o__Clostridiales (UID1125)	128	313	164	131	180	2	0	0	0	65.65	0.91	0.0	9.0	0	0	0	Finegoldia_magna	100.0	0.67	Finegoldia_magna	62.6380452517735	medium-quality	Metabat2	S1_mNGS_metaSPAdes	bin.26	mNGS_metaSPAdes	bin.26.fa	mNGS	0	0	0				
12	S1	mNGS	metaSPAdes	mNGS_metaSPAdes	mNGS	S1_mNGS_metaSPAdes	bin.6	1748	46	38	14	4	0	0	0	0	0	1774029	1716185	1099618	413522	0	0	0	0	0	46	105346	1774029	68044	33311	11	20	0.0	o__Lactobacillales (UID355)	490	333	182	4	329	0	0	0	0	97.8	0.0	0.0	35.0	0	0	1	Lactobacillus_reuteri	100.0	1.77	Lactobacillus_reuteri	626.595245060819	complete	Metabat2	S1_mNGS_metaSPAdes	bin.6	mNGS_metaSPAdes	bin.6.fa	mNGS	0	0	1	0.0	0.0	95.0	
13	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.1	2636	1	1	1	1	1	1	1	1	0	2707060	2707060	2707060	2707060	2707060	2707060	2707060	2707060	0	1	2707060	2707060	2707060	2707060	1	1	0.0	o__Lactobacillales (UID544)	293	475	267	2	472	1	0	0	0	99.44	0.06	0.0	69.0	6	6	6	Enterococcus_faecium	100.0	2.71	Enterococcus_faecium	781.246870774937	complete	Metabat2	S1_Nanopore_metaflye	bin.1	Nanopore_metaflye	bin.1.fa	Nanopore	1	1	1	1557.0	2909.0	111.0	
14	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.11	5251	1	1	1	1	1	1	1	1	1	5871892	5871892	5871892	5871892	5871892	5871892	5871892	5871892	5871892	1	5871892	5871892	5871892	5871892	1	1	0.0	g__Pseudomonas (UID4525)	39	1389	369	13	1370	5	1	0	0	97.97	1.04	0.0	84.0	7	7	8	Klebsiella_pneumoniae	100.0	5.87	Klebsiella_pneumoniae	2389.76384953947	complete	Metabat2	S1_Nanopore_metaflye	bin.11	Nanopore_metaflye	bin.11.fa	Nanopore	1	1	1	1531.0	2887.0	110.0	
15	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.12	3692	1	1	1	1	1	1	1	1	1	3899163	3899163	3899163	3899163	3899163	3899163	3899163	3899163	3899163	1	3899163	3899163	3899163	3899163	1	1	0.0	f__Moraxellaceae (UID4680)	86	689	365	0	688	1	0	0	0	100.0	0.27	0.0	73.0	6	6	6	Acinetobacter_baumannii	100.0	3.9	Acinetobacter_baumannii	1061.33193893151	complete	Metabat2	S1_Nanopore_metaflye	bin.12	Nanopore_metaflye	bin.12.fa	Nanopore	1	1	1	1532.0	2889.0	111.0	
16	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.13	4874	4	4	4	4	4	4	1	1	1	5140840	5140840	5140840	5140840	5140840	5140840	3014359	3014359	3014359	4	3014359	5140840	3014359	693415	1	3	0.0	f__Enterobacteriaceae (UID5121)	138	1162	336	120	1034	8	0	0	0	94.37	0.17	62.5	80.0	7	7	8	Klebsiella_pneumoniae	100.0	5.14	Klebsiella_pneumoniae	1453.75552497257	complete	Metabat2	S1_Nanopore_metaflye	bin.13	Nanopore_metaflye	bin.13.fa	Nanopore	1	1	2	1535.0	2898.0	110.5	
17	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.2	2470	2	2	1	1	1	1	1	1	0	2531701	2531701	2503365	2503365	2503365	2503365	2503365	2503365	0	2	2503365	2531701	2503365	2503365	1	1	0.0	g__Staphylococcus (UID294)	60	773	178	3	764	6	0	0	0	99.84	0.86	83.33	60.0	6	6	7	Staphylococcus_epidermidis	100.0	2.53	Staphylococcus_epidermidis	674.291130745692	complete	Metabat2	S1_Nanopore_metaflye	bin.2	Nanopore_metaflye	bin.2.fa	Nanopore	1	1	1	1548.0	2913.0	110.0	
18	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.5	2097	15	14	11	8	3	1	0	0	0	2388731	2383686	2335982	2109923	1387760	611512	0	0	0	15	611512	2388731	375763	136376	3	6	0.0	p__Bacteroidetes (UID2605)	350	316	210	41	274	1	0	0	0	85.08	0.48	100.0	41.0	4	3	3	Capnocytophaga_ochracea	100.0	2.39	Capnocytophaga_ochracea	522.134649736617	medium-quality	Metabat2	S1_Nanopore_metaflye	bin.5	Nanopore_metaflye	bin.5.fa	Nanopore	2	1	1	1299.0	2826.0	104.0	
19	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.6	1634	56	48	9	2	0	0	0	0	0	1835491	1779626	665079	232046	0	0	0	0	0	56	118899	1835491	39283	28159	16	29	0.0	f__Bifidobacteriaceae (UID1462)	65	476	217	119	357	0	0	0	0	74.23	0.0	0.0	36.0	1	2	0	Bifidobacterium_longum	100.0	1.84	Bifidobacterium_longum	377.754137721187	medium-quality	Metabat2	S1_Nanopore_metaflye	bin.6	Nanopore_metaflye	bin.6.fa	Nanopore	1	2	0	1498.0	2836.5	0.0	
20	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.7	1832	42	39	11	5	0	0	0	0	0	1765131	1741277	1006997	653607	0	0	0	0	0	42	152429	1765131	59323	34331	9	20	0.0	o__Lactobacillales (UID355)	490	333	182	45	287	1	0	0	0	92.63	0.55	0.0	39.0	4	3	2	Lactobacillus_reuteri	91.702	1.77	Lactobacillus_reuteri	620.504623736142	complete	Metabat2	S1_Nanopore_metaflye	bin.7	Nanopore_metaflye	bin.7.fa	Nanopore	4	3	1	1589.0	3031.7	112.0	
21	S1	Nanopore	metaflye	Nanopore_metaflye	Nanopore	S1_Nanopore_metaflye	bin.9	1574	2	2	2	2	1	1	1	0	0	1681211	1681211	1681211	1681211	1456119	1456119	1456119	0	0	2	1456119	1681211	1456119	1456119	1	1	0.0	k__Bacteria (UID209)	5443	105	59	0	105	0	0	0	0	100.0	0.0	0.0	51.0	3	3	2	Jonquetella_anthropi	100.0	1.68	Jonquetella_anthropi	505.499395971118	complete	Metabat2	S1_Nanopore_metaflye	bin.9	Nanopore_metaflye	bin.9.fa	Nanopore	1	2	1	1521.0	2763.5	102.0	
22	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.10	1858	199	79	2	0	0	0	0	0	0	2299275	1581981	122750	0	0	0	0	0	0	199	66907	2299275	16493	8726	45	95	0.0	k__Bacteria (UID203)	5449	104	58	54	50	0	0	0	0	69.45	0.0	0.0	13.0	0	0	0	Prevotella_oris	100.0	2.3	Prevotella_oris	13.0266523143165	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.10	Nanopore_OPERA-MS	bin.10.fa	mNGS+Nanopore	0	0	0				
23	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.13	1841	20	19	10	6	1	1	0	0	0	1874452	1867516	1631189	1347198	556069	556069	0	0	0	20	556069	1874452	169264	84662	4	7	0.05	o__Lactobacillales (UID355)	490	333	182	1	332	0	0	0	0	99.45	0.0	0.0	41.0	0	0	2	Lactobacillus_reuteri	100.0	1.87	Lactobacillus_reuteri	631.693690209192	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.13	Nanopore_OPERA-MS	bin.13.fa	mNGS+Nanopore	0	0	1	0.0	0.0	95.0	
24	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.14	1780	153	65	3	0	0	0	0	0	0	1799176	1305080	167287	0	0	0	0	0	0	153	62033	1799176	16745	9388	34	70	0.0	o__Campylobacterales (UID3068)	106	475	283	15	455	5	0	0	0	95.88	1.06	0.0	26.0	0	0	0	Helicobacter_cinaedi	100.0	1.8	Helicobacter_cinaedi	14.2869052277265	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.14	Nanopore_OPERA-MS	bin.14.fa	mNGS+Nanopore	0	0	0				
25	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.16	3600	3	3	3	3	3	3	2	1	0	3890657	3890657	3890657	3890657	3890657	3890657	3269054	2222347	0	3	2222347	3890657	2222347	1046707	1	2	0.0	f__Moraxellaceae (UID4680)	86	689	365	0	688	1	0	0	0	100.0	0.27	0.0	73.0	6	6	6	Acinetobacter_baumannii	100.0	3.89	Acinetobacter_baumannii	1062.08507149307	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.16	Nanopore_OPERA-MS	bin.16.fa	mNGS+Nanopore	1	2	1	1533.0	2443.0	112.0	
26	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.17	2478	3	3	2	1	1	1	1	1	0	2636881	2636881	2594644	2542382	2542382	2542382	2542382	2542382	0	3	2542382	2636881	2542382	2542382	1	1	0.0	o__Lactobacillales (UID544)	293	475	267	1	473	1	0	0	0	99.63	0.06	0.0	70.0	6	7	6	Enterococcus_faecium	100.0	2.64	Enterococcus_faecium	782.157972240689	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.17	Nanopore_OPERA-MS	bin.17.fa	mNGS+Nanopore	2	2	1	1453.0	2871.5	111.0	
27	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.20	884	6	6	5	4	1	1	0	0	0	1101986	1101986	1055455	992344	545137	545137	0	0	0	6	545137	1101986	176123	137416	2	3	0.0	f__Bifidobacteriaceae (UID1458)	77	464	220	202	262	0	0	0	0	59.09	0.0	0.0	31.0	0	0	0	Bifidobacterium_adolescentis	100.0	1.1	Bifidobacterium_adolescentis	75.2234375028358	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.20	Nanopore_OPERA-MS	bin.20.fa	mNGS+Nanopore	0	0	0				
28	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.23	4630	3	3	3	3	3	2	2	2	0	5185791	5185791	5185791	5185791	5185791	4728256	4728256	4728256	0	3	2529975	5185791	2198281	2198281	2	2	0.0	g__Pseudomonas (UID4525)	39	1389	369	197	1187	5	0	0	0	85.82	0.7	20.0	82.0	5	5	5	Klebsiella_pneumoniae	100.0	5.19	Klebsiella_pneumoniae	2330.9798350917	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.23	Nanopore_OPERA-MS	bin.23.fa	mNGS+Nanopore	1	1	1	1532.0	2890.0	110.0	
29	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.25	4322	3	3	3	3	3	3	2	1	0	4724742	4724742	4724742	4724742	4724742	4724742	3950465	2281683	0	3	2281683	4724742	1668782	1668782	2	2	0.0	f__Enterobacteriaceae (UID5139)	119	1169	340	44	1123	2	0	0	0	99.28	0.07	0.0	81.0	7	7	8	Salmonella_enterica	100.0	4.72	Salmonella_enterica	443.447665078855	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.25	Nanopore_OPERA-MS	bin.25.fa	mNGS+Nanopore	3	4	1	1535.3	2973.8	111.0	
30	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.26	4828	4	4	4	4	4	4	2	1	0	5281008	5281008	5281008	5281008	5281008	5281008	4017357	2980708	0	4	2980708	5281008	2980708	1036649	1	2	0.0	f__Enterobacteriaceae (UID5121)	138	1162	336	36	1125	1	0	0	0	99.4	0.04	0.0	86.0	7	7	9	Klebsiella_pneumoniae	100.0	5.28	Klebsiella_pneumoniae	1421.92706619645	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.26	Nanopore_OPERA-MS	bin.26.fa	mNGS+Nanopore	1	1	2	1536.0	2897.0	110.5	
31	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.3	1400	4	4	4	4	3	2	0	0	0	1738637	1738637	1738637	1738637	1489832	1085708	0	0	0	4	546958	1738637	538750	404124	2	3	0.0	f__Bifidobacteriaceae (UID1462)	65	476	217	68	408	0	0	0	0	86.18	0.0	0.0	43.0	0	0	0	Bifidobacterium_longum	100.0	1.74	Bifidobacterium_longum	368.999984470594	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.3	Nanopore_OPERA-MS	bin.3.fa	mNGS+Nanopore	0	0	0				
32	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.5	1486	3	3	3	3	1	1	1	0	0	1646430	1646430	1646430	1646430	1202193	1202193	1202193	0	0	3	1202193	1646430	1202193	224751	1	2	0.0	k__Bacteria (UID209)	5443	105	59	28	77	0	0	0	0	93.22	0.0	0.0	49.0	1	1	1	Jonquetella_anthropi	100.0	1.65	Jonquetella_anthropi	506.083360361509	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.5	Nanopore_OPERA-MS	bin.5.fa	mNGS+Nanopore	1	1	1	820.0	905.0	89.0	
33	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.6	1250	3	3	2	2	2	2	0	0	0	1389673	1389673	1377898	1377898	1377898	1377898	0	0	0	3	845608	1389673	845608	532290	1	2	0.0	g__Staphylococcus (UID294)	60	773	178	382	391	0	0	0	0	51.12	0.0	0.0	17.0	3	3	3	Staphylococcus_epidermidis	100.0	1.39	Staphylococcus_epidermidis	782.577755342444	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.6	Nanopore_OPERA-MS	bin.6.fa	mNGS+Nanopore	2	2	1	1420.5	2023.0	110.0	
34	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.7	2178	7	7	7	7	4	3	0	0	0	2586821	2586821	2586821	2586821	2229215	1924263	0	0	0	7	878829	2586821	527697	304952	2	4	0.0	p__Bacteroidetes (UID2605)	350	316	210	0	316	0	0	0	0	100.0	0.0	0.0	37.0	0	0	1	Capnocytophaga_ochracea	100.0	2.59	Capnocytophaga_ochracea	532.226996765528	complete	Metabat2	S1_Nanopore_OPERA-MS	bin.7	Nanopore_OPERA-MS	bin.7.fa	mNGS+Nanopore	0	0	1	0.0	0.0	87.0	
35	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.8	3616	71	66	30	8	1	0	0	0	0	3777786	3747953	2750275	1125248	257806	0	0	0	0	71	257806	3777786	82073	46522	17	32	0.0	k__Bacteria (UID203)	5449	104	58	65	39	0	0	0	0	56.38	0.0	0.0	26.0	0	0	2	Enterobacter_cloacae	100.0	3.78	Enterobacter_cloacae	41.2103636892084	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.8	Nanopore_OPERA-MS	bin.8.fa	mNGS+Nanopore	0	0	1	0.0	0.0	111.0	
36	S1	Nanopore	OPERA-MS	Nanopore_OPERA-MS	mNGS+Nanopore	S1_Nanopore_OPERA-MS	bin.9	1536	33	29	9	6	0	0	0	0	0	1641745	1620757	1044272	846690	0	0	0	0	0	33	210037	1641745	102433	41650	6	14	0.0	g__Streptococcus (UID561)	89	679	295	168	511	0	0	0	0	79.32	0.0	0.0	23.0	0	0	0	Streptococcus_parasanguinis	100.0	1.64	Streptococcus_parasanguinis	41.1217734788289	medium-quality	Metabat2	S1_Nanopore_OPERA-MS	bin.9	Nanopore_OPERA-MS	bin.9.fa	mNGS+Nanopore	0	0	0				
37	S1	PacBio	metaflye	PacBio_metaflye	PacBio	S1_PacBio_metaflye	bin.1	2551	1	1	1	1	1	1	1	1	0	2708055	2708055	2708055	2708055	2708055	2708055	2708055	2708055	0	1	2708055	2708055	2708055	2708055	1	1	0.0	o__Lactobacillales (UID544)	293	475	267	1	473	1	0	0	0	99.63	0.06	0.0	69.0	6	6	6	Enterococcus_faecium	100.0	2.71	Enterococcus_faecium	782.003542764087	complete	Metabat2	S1_PacBio_metaflye	bin.1	PacBio_metaflye	bin.1.fa	PacBio	1	1	1	1559.0	2912.0	111.0	
38	S1	PacBio	metaflye	PacBio_metaflye	PacBio	S1_PacBio_metaflye	bin.10	4489	1	1	1	1	1	1	1	1	1	5064375	5064375	5064375	5064375	5064375	5064375	5064375	5064375	5064375	1	5064375	5064375	5064375	5064375	1	1	0.0	g__Pseudomonas (UID4525)	39	1389	369	84	1298	6	1	0	0	86.9	1.06	11.11	79.0	7	7	8	Klebsiella_pneumoniae	100.0	5.06	Klebsiella_pneumoniae	2480.69774750093	medium-quality	Metabat2	S1_PacBio_metaflye	bin.10	PacBio_metaflye	bin.10.fa	PacBio	1	1	1	1532.0	2890.0	110.0	
39	S1	PacBio	metaflye	PacBio_metaflye	PacBio	S1_PacBio_metaflye	bin.11	1554	2	2	2	2	2	2	1	0	0	1696233	1696233	1696233	1696233	1696233	1696233	1064965	0	0	2	1064965	1696233	1064965	631268	1	2	0.0	k__Bacteria (UID209)	5443	105	59	2	102	1	0	0	0	98.31	1.69	100.0	53.0	3	3	3	Jonquetella_anthropi	100.0	1.7	Jonquetella_anthropi	505.344020544347	complete	Metabat2	S1_PacBio_metaflye	bin.11	PacBio_metaflye	bin.11.fa	PacBio	1	1	1	1528.0	2971.0	106.0	
40	S1	PacBio	metaflye	PacBio_metaflye	PacBio	S1_PacBio_metaflye	bin.12	3612	2	2	2	2	1	1	1	1	1	3901058	3901058	3901058	3901058	3718052	3718052	3718052	3718052	3718052	2	3718052	3901058	3718052	3718052	1	1	0.0	f__Moraxellaceae (UID4680)	86	689	365	0	688	1	0	0	0	100.0	0.27	0.0	73.0	6	6	6	Acinetobacter_baumannii	100.0	3.9	Acinetobacter_baumannii	1060.48992119574	complete	Metabat2	S1_PacBio_metaflye	bin.12	PacBio_metaflye	bin.12.fa	PacBio	1	1	1	1533.0	2890.0	111.0	
41	S1	PacBio	metaflye	PacBio_metaflye	PacBio	S1_PacBio_metaflye	bin.2	1501	43	40	3	1	0	0	0	0	0	1430012	1409125	283852	146593	0	0	0	0	0	43	146593	1430012	38250	27723	13	24	0.0	o__Lactobacillales (UID355)	490	333	182	119	211	3	0	0	0	63.27	1.37	33.33	11.0	0	0	0	Lactobacillus_reuteri	89.749	1.43	Lactobacillus_reuteri	604.295359759219	medium-quality	Metabat2	S1_PacBio_metaflye	bin.2	PacBio_metaflye	bin.2.fa	PacBio	0	0	0				
